Gender,GRE_V,GRE_Q,GRE_AW,Score,Label
0,148.0,144.0,3.0,0.361904761904762,0
1,153.0,161.99999999999997,4.0,0.7444805194805194,1
0,151.0,156.0,3.4999999999999996,0.6027777777777781,1
1,156.0,168.0,2.9999999999999996,0.8363636363636365,1
1,154.0,159.0,4.0,0.6944805194805196,1
0,148.0,150.0,4.0,0.5007936507936508,1
1,152.0,170.0,4.0,0.8837662337662339,1
0,148.0,154.0,4.0,0.5722222222222224,1
0,159.0,152.0,5.000000000000001,0.6075396825396828,1
1,137.0,170.0,2.5,0.7912337662337663,1
1,148.0,147.0,2.9999999999999996,0.432792207792208,0
1,144.0,130.0,2.5,0.10194805194805195,0
0,159.0,156.0,5.000000000000001,0.6789682539682542,1
0,152.0,147.0,4.5,0.47738095238095263,0
0,152.0,147.0,5.5,0.5091269841269843,1
0,160.0,154.0,4.5,0.630952380952381,1
1,148.0,154.0,3.5,0.5707792207792209,1
1,163.0,144.0,4.5,0.4717532467532468,0
1,160.0,156.0,4.5,0.6753246753246755,1
0,160.0,160.0,5.000000000000001,0.753968253968254,1
0,147.0,156.0,3.4999999999999996,0.5884920634920637,1
1,151.0,166.0,2.9999999999999996,0.7827922077922082,1
0,146.0,139.0,4.0,0.29722222222222233,0
1,143.0,152.0,2.5,0.49123376623376647,0
1,152.0,157.0,2.9999999999999996,0.6256493506493509,1
0,158.0,157.0,4.0,0.6615079365079366,1
1,142.0,148.0,2.5,0.4162337662337664,0
0,137.0,150.0,3.4999999999999996,0.44563492063492066,0
1,140.0,156.0,3.5,0.5779220779220782,1
0,150.0,164.0,4.0,0.7579365079365084,1
1,144.0,160.0,3.5,0.6636363636363637,1
1,148.0,142.0,2.9999999999999996,0.3435064935064937,0
1,136.0,154.0,2.0,0.4889610389610391,0
1,166.0,165.0,3.5,0.8314935064935065,1
1,163.0,170.0,4.5,0.9360389610389611,1
0,153.0,146.0,4.0,0.4472222222222225,0
0,140.0,146.0,2.0,0.33730158730158755,0
0,148.0,142.0,3.0,0.3261904761904764,0
0,145.0,158.0,3.0,0.6011904761904763,1
1,148.0,160.0,2.9999999999999996,0.6649350649350649,1
1,150.0,159.0,4.0,0.6801948051948052,1
0,158.0,156.0,4.0,0.6436507936507938,1
1,144.0,166.99999999999997,2.9999999999999996,0.7756493506493506,1
1,158.0,168.0,3.5,0.8564935064935066,1
1,155.0,150.0,4.5,0.5503246753246753,1
0,166.0,168.0,4.5,0.9023809523809526,1
0,145.0,158.0,4.0,0.6329365079365081,1
1,142.0,156.0,2.9999999999999996,0.5720779220779224,1
1,159.0,148.0,4.5,0.5288961038961041,1
1,146.0,150.0,4.0,0.5051948051948053,1
1,153.0,164.0,3.5,0.7672077922077927,1
0,140.0,150.0,2.5000000000000004,0.4246031746031746,0
0,150.0,156.0,3.4999999999999996,0.5992063492063494,1
0,140.0,132.0,3.0,0.11904761904761924,0
0,152.0,154.0,4.0,0.5865079365079366,1
1,150.0,161.99999999999997,2.5,0.6948051948051946,1
0,156.0,163.0,3.4999999999999996,0.7456349206349208,1
0,163.0,154.0,3.0,0.5940476190476192,1
0,150.0,166.0,3.0,0.7619047619047621,1
1,150.0,156.0,3.5,0.6136363636363639,1
1,149.0,152.0,2.9999999999999996,0.5256493506493509,1
0,147.0,141.0,3.0,0.30476190476190507,0
1,161.99999999999997,160.0,4.5,0.7538961038961038,1
1,155.0,154.0,4.5,0.6217532467532468,1
1,148.0,161.99999999999997,2.5,0.6876623376623375,1
1,146.0,148.0,4.5,0.48246753246753266,0
1,149.0,163.0,3.5,0.7350649350649352,1
0,150.0,152.0,4.0,0.5436507936507939,1
1,158.0,154.0,4.5,0.6324675324675326,1
0,161.99999999999997,145.0,5.000000000000001,0.4932539682539682,0
0,150.0,170.0,2.5000000000000004,0.8174603174603174,1
0,158.0,140.0,3.4999999999999996,0.34206349206349207,0
1,169.0,150.0,4.0,0.5873376623376624,1
0,149.0,151.0,3.0,0.4904761904761908,0
0,148.0,145.0,3.0,0.3797619047619048,0
1,151.0,160.0,2.0,0.6496753246753247,1
1,151.0,166.0,3.5,0.7957792207792211,1
1,151.0,153.0,3.5,0.5636363636363638,1
0,150.0,169.0,4.5,0.8630952380952385,1
0,164.0,161.99999999999997,5.000000000000001,0.803968253968254,1
1,160.0,148.0,3.5,0.5064935064935067,1
1,146.0,146.0,2.9999999999999996,0.4077922077922081,0
0,157.0,166.0,5.000000000000001,0.8503968253968257,1
1,148.0,161.0,4.0,0.708766233766234,1
0,152.0,168.0,4.0,0.8365079365079366,1
1,170.0,163.0,4.0,0.8230519480519481,1
1,158.0,149.0,4.5,0.5431818181818183,1
0,150.0,150.0,4.0,0.5079365079365079,1
0,146.0,146.0,3.4999999999999996,0.4063492063492067,0
0,144.0,147.0,3.4999999999999996,0.41706349206349225,0
1,130.0,161.0,2.5,0.6055194805194808,1
1,165.0,161.0,3.5,0.7564935064935068,1
1,154.0,152.0,4.0,0.5694805194805197,1
1,148.0,164.0,2.0,0.7103896103896108,1
1,158.0,168.0,3.5,0.8564935064935066,1
0,150.0,152.0,3.0,0.5119047619047621,1
1,146.0,140.0,3.5,0.31363636363636366,0
1,154.0,156.0,4.5,0.6538961038961042,1
0,141.0,134.0,3.0,0.15833333333333344,0
0,140.0,159.0,2.5000000000000004,0.5853174603174603,1
0,144.0,136.0,3.0,0.20476190476190503,0
1,130.0,152.0,2.0,0.43181818181818205,0
0,150.0,161.99999999999997,3.4999999999999996,0.7063492063492062,1
0,157.0,156.0,4.5,0.6559523809523812,1
