Gender,GRE_V,GRE_Q,GRE_AW,Score,Label
0,148.0,144.0,3.0,0.20166774738075338,0
1,153.0,161.99999999999997,4.0,0.8124278950055127,1
0,151.0,156.0,3.4999999999999996,0.30729637158825884,0
1,156.0,168.0,2.9999999999999996,0.8555783028087373,1
1,154.0,159.0,4.0,0.8335729265674641,1
0,148.0,150.0,4.0,0.28757514143745605,0
1,152.0,170.0,4.0,0.8837300055938687,1
0,148.0,154.0,4.0,0.32010733481389136,0
0,159.0,152.0,5.000000000000001,0.3766601140862542,0
1,137.0,170.0,2.5,0.7860688918142817,1
1,148.0,147.0,2.9999999999999996,0.6772335807576916,1
1,144.0,130.0,2.5,0.5362067045106852,1
0,159.0,156.0,5.000000000000001,0.4027843541008868,0
0,152.0,147.0,4.5,0.28372659388182975,0
0,152.0,147.0,5.5,0.32576120340380127,0
0,160.0,154.0,4.5,0.3747743152355762,0
1,148.0,154.0,3.5,0.7595963642878999,1
1,163.0,144.0,4.5,0.7498685324969268,1
1,160.0,156.0,4.5,0.8176408421316987,1
0,160.0,160.0,5.000000000000001,0.4266674968994373,0
0,147.0,156.0,3.4999999999999996,0.30080182193519495,0
1,151.0,166.0,2.9999999999999996,0.8098640487899396,1
0,146.0,139.0,4.0,0.1988280783494409,0
1,143.0,152.0,2.5,0.6953331264353768,1
1,152.0,157.0,2.9999999999999996,0.7640513336877409,1
0,158.0,157.0,4.0,0.38635307759087495,0
1,142.0,148.0,2.5,0.6479958312895514,1
0,137.0,150.0,3.4999999999999996,0.23278384562992016,0
1,140.0,156.0,3.5,0.714620133798833,1
0,150.0,164.0,4.0,0.4075791679783623,0
1,144.0,160.0,3.5,0.774949759669142,1
1,148.0,142.0,2.9999999999999996,0.6765722369975992,1
1,136.0,154.0,2.0,0.6533556094676823,1
1,166.0,165.0,3.5,0.8849955606528759,1
1,163.0,170.0,4.5,0.9322684489762333,1
0,153.0,146.0,4.0,0.284932497376486,0
0,140.0,146.0,2.0,0.17267011028321894,0
0,148.0,142.0,3.0,0.20706764763897836,0
0,145.0,158.0,3.0,0.29306245518208734,0
1,148.0,160.0,2.9999999999999996,0.7759608102176045,1
1,150.0,159.0,4.0,0.7802898978118478,1
0,158.0,156.0,4.0,0.35589417431466414,0
